product_name,node_name,year,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
IPHONE_NM_2028_BASE,CONSUMER_CA_PREMIUM,2028,2940.0,3430.0,4116.0,4900.0,5880.0,6860.0,8820.0,10780.0,31752.0,19404.0,14406.0,12348.0
IPHONE_NM_2028_BASE,CONSUMER_CN_MAINSTREAM,2028,21340.0,22310.0,23765.0,25705.0,28130.0,31040.0,34920.0,39770.0,124403.0,96030.0,83517.0,77406.0
IPHONE_NM_2028_BASE,CONSUMER_CN_PREMIUM_EARLY,2028,17640.0,18620.0,20580.0,23520.0,27440.0,31360.0,37240.0,43120.0,168682.0,105644.0,88494.0,80262.0
IPHONE_NM_2028_BASE,CONSUMER_DE_PREMIUM,2028,6860.0,7448.0,8036.0,8820.0,9800.0,11270.0,12740.0,14210.0,39690.0,25872.0,19551.0,17493.0
IPHONE_NM_2028_BASE,CONSUMER_FR_MAINSTREAM,2028,6500.0,6900.0,7400.0,8100.0,9000.0,10200.0,11500.0,12800.0,29700.0,23100.0,19425.0,18375.0
IPHONE_NM_2028_BASE,CONSUMER_IN_PREMIUM_ASPIRER,2028,5880.0,6468.0,7056.0,7840.0,8624.0,9604.0,10780.0,12250.0,30429.0,22638.0,18522.0,16978.0
IPHONE_NM_2028_BASE,CONSUMER_IN_VALUE_SWITCHER,2028,17460.0,18430.0,19885.0,21340.0,23280.0,25220.0,28130.0,31040.0,54999.0,49082.0,44814.0,40740.0
IPHONE_NM_2028_BASE,CONSUMER_JP_REPLACEMENT,2028,7000.0,7200.0,7600.0,8200.0,9000.0,9800.0,10500.0,11800.0,32400.0,24200.0,21525.0,20475.0
IPHONE_NM_2028_BASE,CONSUMER_MX_VALUE,2028,5000.0,5500.0,6000.0,7000.0,8000.0,9500.0,11000.0,13000.0,24300.0,22000.0,19425.0,16800.0
IPHONE_NM_2028_BASE,CONSUMER_SG_PREMIUM,2028,1176.0,1274.0,1372.0,1470.0,1617.0,1764.0,1960.0,2156.0,5954.0,3881.0,3087.0,2675.0
IPHONE_NM_2028_BASE,CONSUMER_TH_VALUE,2028,4365.0,4559.0,4753.0,5044.0,5432.0,5820.0,6305.0,6984.0,14405.0,11204.0,9981.0,9472.0
IPHONE_NM_2028_BASE,CONSUMER_UK_PREMIUM,2028,5880.0,6370.0,6860.0,7448.0,8330.0,9604.0,10780.0,12250.0,34398.0,22638.0,17493.0,15435.0
IPHONE_NM_2028_BASE,CONSUMER_US_MAINSTREAM,2028,20000.0,22000.0,26000.0,30000.0,35000.0,42000.0,50000.0,58000.0,148500.0,126500.0,105000.0,94500.0
IPHONE_NM_2028_BASE,CONSUMER_US_PREMIUM_EARLY,2028,14700.0,17640.0,21560.0,25480.0,31360.0,39200.0,50960.0,68600.0,215914.0,129360.0,92610.0,77175.0
IPHONE_NM_2028_BASE,CONSUMER_VN_YOUTH,2028,4074.0,4365.0,4656.0,5044.0,5626.0,6208.0,6790.0,7566.0,15714.0,12271.0,11000.0,9981.0
IPHONE_NM_2028_PRO,CONSUMER_CA_PREMIUM,2028,1029.0,1200.5,1440.6,1715.0,2058.0,2401.0,3087.0,3773.0,11113.2,6791.4,5042.1,4321.8
IPHONE_NM_2028_PRO,CONSUMER_CN_MAINSTREAM,2028,2560.8,2677.2,2851.8,3084.6,3375.6,3724.8,4190.4,4772.4,14928.4,11523.6,10022.0,9288.7
IPHONE_NM_2028_PRO,CONSUMER_CN_PREMIUM_EARLY,2028,6174.0,6517.0,7203.0,8232.0,9604.0,10976.0,13034.0,15092.0,59038.7,36975.4,30972.9,28091.7
IPHONE_NM_2028_PRO,CONSUMER_DE_PREMIUM,2028,2401.0,2606.8,2812.6,3087.0,3430.0,3944.5,4459.0,4973.5,13891.5,9055.2,6842.8,6122.5
IPHONE_NM_2028_PRO,CONSUMER_FR_MAINSTREAM,2028,780.0,828.0,888.0,972.0,1080.0,1224.0,1380.0,1536.0,3564.0,2772.0,2331.0,2205.0
