product_name,from_node,to_node,tariff_rate
IPHONE_NM_2028_BASE,ASM_CHINA_MAIN,RH_NA,0.1
IPHONE_NM_2028_BASE,ASM_CHINA_MAIN,RH_EU_WEST,0.04
IPHONE_NM_2028_BASE,ASM_CHINA_MAIN,RH_CHINA,0.0
IPHONE_NM_2028_BASE,ASM_CHINA_MAIN,RH_JAPAN,0.0
IPHONE_NM_2028_BASE,ASM_CHINA_MAIN,RH_SEA,0.0
IPHONE_NM_2028_BASE,ASM_INDIA_MAIN,RH_NA,0.02
IPHONE_NM_2028_BASE,ASM_INDIA_MAIN,RH_EU_WEST,0.01
IPHONE_NM_2028_BASE,ASM_INDIA_MAIN,RH_INDIA,0.0
IPHONE_NM_2028_BASE,ASM_INDIA_MAIN,RH_SEA,0.0
IPHONE_NM_2028_BASE,ASM_VIETNAM_MAIN,RH_NA,0.0
IPHONE_NM_2028_BASE,ASM_VIETNAM_MAIN,RH_EU_WEST,0.0
IPHONE_NM_2028_BASE,ASM_VIETNAM_MAIN,RH_SEA,0.0
IPHONE_NM_2028_BASE,ASM_VIETNAM_MAIN,RH_JAPAN,0.0
IPHONE_NM_2028_BASE,RH_NA,COUNTRY_NODE_US,0.0
IPHONE_NM_2028_BASE,RH_NA,COUNTRY_NODE_CA,0.0
IPHONE_NM_2028_BASE,RH_NA,COUNTRY_NODE_MX,0.0
IPHONE_NM_2028_BASE,RH_EU_WEST,COUNTRY_NODE_DE,0.0
IPHONE_NM_2028_BASE,RH_EU_WEST,COUNTRY_NODE_FR,0.0
IPHONE_NM_2028_BASE,RH_EU_WEST,COUNTRY_NODE_UK,0.0
IPHONE_NM_2028_BASE,RH_INDIA,COUNTRY_NODE_IN,0.0
IPHONE_NM_2028_BASE,RH_CHINA,COUNTRY_NODE_CN,0.0
IPHONE_NM_2028_BASE,RH_JAPAN,COUNTRY_NODE_JP,0.0
IPHONE_NM_2028_BASE,RH_SEA,COUNTRY_NODE_SG,0.0
IPHONE_NM_2028_BASE,RH_SEA,COUNTRY_NODE_TH,0.0
IPHONE_NM_2028_BASE,RH_SEA,COUNTRY_NODE_VN,0.0
