product_name,node_name,price_sales_shipped,cost_total,profit,marketing_promotion,sales_admin_cost,SGA_total,logistics_costs,warehouse_cost,direct_materials_costs,tariff_cost,purchase_total_cost,prod_indirect_labor,prod_indirect_others,direct_labor_costs,depreciation_others,manufacturing_overhead
IPHONE_NM_2028_BASE,ASM_CHINA_MAIN,969.0,348.0,621.0,1.0,2.0,3.0,6.0,0.0,318.5,0.0,324.5,1.0,0,18.0,1.5,2.5
IPHONE_NM_2028_BASE,ASM_INDIA_MAIN,969.0,345.5,623.5,1.0,2.0,3.0,6.0,0.0,318.5,0.0,324.5,1.0,0,15.5,1.5,2.5
IPHONE_NM_2028_BASE,ASM_VIETNAM_MAIN,969.0,346.2,622.8,1.0,2.0,3.0,6.0,0.0,318.5,0.0,324.5,1.0,0,16.2,1.5,2.5
IPHONE_NM_2028_BASE,RH_NA,969.0,334.5,634.5,1.0,4.0,5.0,8.0,2.0,318.5,0.0,326.5,0.0,0,1.0,0.0,0.0
IPHONE_NM_2028_BASE,RH_EU_WEST,969.0,334.5,634.5,1.0,4.0,5.0,8.0,2.0,318.5,0.0,326.5,0.0,0,1.0,0.0,0.0
IPHONE_NM_2028_BASE,RH_INDIA,969.0,334.5,634.5,1.0,4.0,5.0,8.0,2.0,318.5,0.0,326.5,0.0,0,1.0,0.0,0.0
IPHONE_NM_2028_BASE,RH_CHINA,969.0,334.5,634.5,1.0,4.0,5.0,8.0,2.0,318.5,0.0,326.5,0.0,0,1.0,0.0,0.0
IPHONE_NM_2028_BASE,RH_JAPAN,969.0,334.5,634.5,1.0,4.0,5.0,8.0,2.0,318.5,0.0,326.5,0.0,0,1.0,0.0,0.0
IPHONE_NM_2028_BASE,RH_SEA,969.0,334.5,634.5,1.0,4.0,5.0,8.0,2.0,318.5,0.0,326.5,0.0,0,1.0,0.0,0.0
IPHONE_NM_2028_BASE,COUNTRY_NODE_US,969.0,333.5,635.5,1.0,8.0,9.0,3.0,2.0,318.5,0.0,321.5,0.0,0,1.0,0.0,0.0
IPHONE_NM_2028_BASE,COUNTRY_NODE_CA,969.0,333.5,635.5,1.0,8.0,9.0,3.0,2.0,318.5,0.0,321.5,0.0,0,1.0,0.0,0.0
IPHONE_NM_2028_BASE,COUNTRY_NODE_MX,969.0,333.5,635.5,1.0,8.0,9.0,3.0,2.0,318.5,0.0,321.5,0.0,0,1.0,0.0,0.0
IPHONE_NM_2028_BASE,COUNTRY_NODE_DE,969.0,333.5,635.5,1.0,8.0,9.0,3.0,2.0,318.5,0.0,321.5,0.0,0,1.0,0.0,0.0
IPHONE_NM_2028_BASE,COUNTRY_NODE_FR,969.0,333.5,635.5,1.0,8.0,9.0,3.0,2.0,318.5,0.0,321.5,0.0,0,1.0,0.0,0.0
