Product_name,Parent_node,Child_node,child_node_name,lot_size,leadtime,process_capa,long_vacation_weeks,LT_boat,LT_air,LT_qourier,weeks_year,SS_days,TAX_currency_condition,HS_code,customs_tariff_rate,price_elasticity,cost_standard_flag,AR_lead_time,AP_lead_time,PSI_graph_flag,buffering_stock_flag
IPHONE_NM_2028_BASE,root,ASM_CHINA_MAIN,ASM_CHINA_MAIN,1000,1,250000,[],21,7,3,52,7,profile,,0,0,0,30,45,ON,OFF
IPHONE_NM_2028_BASE,root,ASM_INDIA_MAIN,ASM_INDIA_MAIN,1000,1,250000,[],21,7,3,52,7,profile,,0,0,0,30,45,ON,OFF
IPHONE_NM_2028_BASE,root,ASM_VIETNAM_MAIN,ASM_VIETNAM_MAIN,1000,1,250000,[],21,7,3,52,7,profile,,0,0,0,30,45,ON,OFF
IPHONE_NM_2028_BASE,ASM_CHINA_MAIN,RH_NA,RH_NA,1000,9,200000,[],9,7,3,52,14,profile,,0,0,0,30,45,ON,ON
IPHONE_NM_2028_BASE,ASM_CHINA_MAIN,RH_EU_WEST,RH_EU_WEST,1000,10,200000,[],10,7,3,52,14,profile,,0,0,0,30,45,ON,ON
IPHONE_NM_2028_BASE,ASM_CHINA_MAIN,RH_CHINA,RH_CHINA,1000,3,200000,[],3,7,3,52,14,profile,,0,0,0,30,45,ON,ON
IPHONE_NM_2028_BASE,ASM_CHINA_MAIN,RH_JAPAN,RH_JAPAN,1000,4,200000,[],4,7,3,52,14,profile,,0,0,0,30,45,ON,ON
IPHONE_NM_2028_BASE,ASM_CHINA_MAIN,RH_SEA,RH_SEA,1000,5,200000,[],5,7,3,52,14,profile,,0,0,0,30,45,ON,ON
IPHONE_NM_2028_BASE,ASM_INDIA_MAIN,RH_NA,RH_NA,1000,10,200000,[],10,7,3,52,14,profile,,0,0,0,30,45,ON,ON
IPHONE_NM_2028_BASE,ASM_INDIA_MAIN,RH_EU_WEST,RH_EU_WEST,1000,9,200000,[],9,7,3,52,14,profile,,0,0,0,30,45,ON,ON
IPHONE_NM_2028_BASE,ASM_INDIA_MAIN,RH_INDIA,RH_INDIA,1000,2,200000,[],2,7,3,52,14,profile,,0,0,0,30,45,ON,ON
IPHONE_NM_2028_BASE,ASM_INDIA_MAIN,RH_SEA,RH_SEA,1000,5,200000,[],5,7,3,52,14,profile,,0,0,0,30,45,ON,ON
IPHONE_NM_2028_BASE,ASM_VIETNAM_MAIN,RH_NA,RH_NA,1000,9,200000,[],9,7,3,52,14,profile,,0,0,0,30,45,ON,ON
IPHONE_NM_2028_BASE,ASM_VIETNAM_MAIN,RH_EU_WEST,RH_EU_WEST,1000,10,200000,[],10,7,3,52,14,profile,,0,0,0,30,45,ON,ON
IPHONE_NM_2028_BASE,ASM_VIETNAM_MAIN,RH_SEA,RH_SEA,1000,2,200000,[],2,7,3,52,14,profile,,0,0,0,30,45,ON,ON
