node_name,lat,lon
SOC_TAIWAN_FAB,24.8,121.0
DISPLAY_KOREA_PLANT,37.5,127.0
MEM_CHINA_PLANT,31.2,121.5
CAM_JAPAN_MODULE,35.7,139.7
BATT_CHINA_PLANT,30.6,114.3
HOUSING_VN_PLANT,10.8,106.6
PCB_TH_PLANT,13.7,100.5
PKG_INDIA_PLANT,19.1,72.9
ASM_CHINA_MAIN,34.7,113.6
ASM_INDIA_MAIN,13.1,80.3
ASM_VIETNAM_MAIN,21.0,105.8
RH_NA,33.4,-112.0
RH_EU_WEST,52.3,4.9
RH_INDIA,19.1,72.9
RH_CHINA,31.2,121.5
RH_JAPAN,35.7,139.7
RH_SEA,1.35,103.82
COUNTRY_NODE_US,37.1,-95.7
COUNTRY_NODE_CA,56.1,-106.3
COUNTRY_NODE_MX,23.6,-102.5
COUNTRY_NODE_DE,51.2,10.4
COUNTRY_NODE_FR,46.2,2.2
COUNTRY_NODE_UK,55.4,-3.4
COUNTRY_NODE_IN,22.6,79.0
COUNTRY_NODE_CN,35.9,104.2
COUNTRY_NODE_JP,36.2,138.2
COUNTRY_NODE_SG,1.35,103.82
COUNTRY_NODE_TH,15.87,100.99
COUNTRY_NODE_VN,14.06,108.28
CHANNEL_US_APPLE_ONLINE,37.1,-95.7
CHANNEL_US_CARRIER,37.1,-95.7
CHANNEL_CA_APPLE_ONLINE,56.1,-106.3
CHANNEL_CA_CARRIER,56.1,-106.3
CHANNEL_MX_LARGE_RETAIL,23.6,-102.5
CHANNEL_MX_CARRIER,23.6,-102.5
CHANNEL_DE_APPLE_ONLINE,51.2,10.4
CHANNEL_DE_CARRIER,51.2,10.4
CHANNEL_FR_APPLE_ONLINE,46.2,2.2
CHANNEL_FR_CARRIER,46.2,2.2
CHANNEL_UK_APPLE_ONLINE,55.4,-3.4
CHANNEL_UK_CARRIER,55.4,-3.4
CHANNEL_IN_LARGE_RETAIL,22.6,79.0
CHANNEL_IN_ECOM,22.6,79.0
CHANNEL_CN_APPLE_ONLINE,35.9,104.2
CHANNEL_CN_ECOM,35.9,104.2
CHANNEL_JP_APPLE_RETAIL,36.2,138.2
CHANNEL_JP_CARRIER,36.2,138.2
CHANNEL_SG_APPLE_ONLINE,1.35,103.82
CHANNEL_TH_DISTRIBUTOR,15.87,100.99
CHANNEL_VN_DISTRIBUTOR,14.06,108.28
CONSUMER_US_PREMIUM_EARLY,37.1,-95.7
CONSUMER_US_MAINSTREAM,37.1,-95.7
CONSUMER_CA_PREMIUM,56.1,-106.3
CONSUMER_MX_VALUE,23.6,-102.5
CONSUMER_DE_PREMIUM,51.2,10.4
CONSUMER_FR_MAINSTREAM,46.2,2.2
CONSUMER_UK_PREMIUM,55.4,-3.4
CONSUMER_IN_VALUE_SWITCHER,22.6,79.0
CONSUMER_IN_PREMIUM_ASPIRER,22.6,79.0
CONSUMER_CN_PREMIUM_EARLY,35.9,104.2
CONSUMER_CN_MAINSTREAM,35.9,104.2
CONSUMER_JP_REPLACEMENT,36.2,138.2
CONSUMER_SG_PREMIUM,1.35,103.82
CONSUMER_TH_VALUE,15.87,100.99
CONSUMER_VN_YOUTH,14.06,108.28
