product,product_name,direction,sequence_no,from_node,from_node_character,to_node,to_node_character,parent_ship_price_per_lot,child_purchase_cost_per_lot,child_ship_price_per_lot,propagated_purchase_cost_per_lot,purchase_cost_source,delta_parent_ship_to_child_purchase,delta_child_purchase_to_child_ship,child_price_formation_mode,edge_leadtime,edge_lot_size,edge_transport_mode,remarks
IPHONE_NM_2028_BASE,IPHONE_NM_2028_BASE,outbound,1,supply_point,SUPPLY_CHAIN_OFFICE,DAD_FAS_AMER,unknown,20.0,20.0,650.0,20.0,propagated_from_parent_ship_price,0.0,630.0,explicit_ship_price,,,,
IPHONE_NM_2028_BASE,IPHONE_NM_2028_BASE,outbound,2,supply_point,SUPPLY_CHAIN_OFFICE,DAD_FAS_EURO,unknown,20.0,20.0,670.0,20.0,propagated_from_parent_ship_price,0.0,650.0,explicit_ship_price,,,,
IPHONE_NM_2028_BASE,IPHONE_NM_2028_BASE,outbound,3,supply_point,SUPPLY_CHAIN_OFFICE,DAD_FAS_APAC,DAD,20.0,20.0,640.0,20.0,propagated_from_parent_ship_price,0.0,620.0,explicit_ship_price,,,,
IPHONE_NM_2028_BASE,IPHONE_NM_2028_BASE,outbound,4,DAD_FAS_APAC,DAD,WS_APAC,WS,640.0,640.0,705.0,640.0,propagated_from_parent_ship_price,0.0,65.0,explicit_ship_price,,,,
IPHONE_NM_2028_BASE,IPHONE_NM_2028_BASE,outbound,5,WS_APAC,WS,RT_JP_APPLE,unknown,705.0,705.0,835.0,705.0,propagated_from_parent_ship_price,0.0,130.0,explicit_ship_price,,,,
IPHONE_NM_2028_BASE,IPHONE_NM_2028_BASE,outbound,6,WS_APAC,WS,RT_IN_ECOM,unknown,705.0,705.0,760.0,705.0,propagated_from_parent_ship_price,0.0,55.0,explicit_ship_price,,,,
IPHONE_NM_2028_BASE,IPHONE_NM_2028_BASE,outbound,7,WS_APAC,WS,RT_CN_ONLINE,unknown,705.0,705.0,805.0,705.0,propagated_from_parent_ship_price,0.0,100.0,explicit_ship_price,,,,
IPHONE_NM_2028_BASE,IPHONE_NM_2028_BASE,outbound,8,RT_CN_ONLINE,unknown,CS_CN_PREMIUM,CS,805.0,805.0,960.0,805.0,propagated_from_parent_ship_price,0.0,155.0,explicit_ship_price,,,,
IPHONE_NM_2028_BASE,IPHONE_NM_2028_BASE,outbound,9,RT_IN_ECOM,unknown,CS_IN_ASPIRER,CS,760.0,760.0,780.0,760.0,propagated_from_parent_ship_price,0.0,20.0,explicit_ship_price,,,,
IPHONE_NM_2028_BASE,IPHONE_NM_2028_BASE,outbound,10,RT_JP_APPLE,unknown,CS_JP_REPLACEMENT,CS,835.0,835.0,910.0,835.0,propagated_from_parent_ship_price,0.0,75.0,explicit_ship_price,,,,
IPHONE_NM_2028_BASE,IPHONE_NM_2028_BASE,outbound,11,DAD_FAS_EURO,unknown,WS_EU,WS,670.0,670.0,735.0,670.0,propagated_from_parent_ship_price,0.0,65.0,explicit_ship_price,,,,
IPHONE_NM_2028_BASE,IPHONE_NM_2028_BASE,outbound,12,WS_EU,WS,RT_DE_ONLINE,RT,735.0,735.0,850.0,735.0,propagated_from_parent_ship_price,0.0,115.0,explicit_ship_price,,,,
