product_id,node_id,node_type,node_name,parent_node_id,business_unit
RICE_KOSHIHIKARI,FARM_NIIGATA,FACTORY,新潟農場,HQ,FarmingDiv
RICE_KOSHIHIKARI,DC_KANTO,DC,関東DC,FARM_NIIGATA,DistDiv
RICE_KOSHIHIKARI,MARKET_TOKYO,MARKET,東京市場,DC_KANTO,SalesDiv
RICE_KOSHIHIKARI,MARKET_OSAKA,MARKET,大阪市場,DC_KANTO,SalesDiv
RICE_KOSHIHIKARI,MARKET_NAGOYA,MARKET,名古屋市場,DC_KANTO,SalesDiv
RICE_AKITAKOMACHI,FARM_AKITA,FACTORY,秋田農場,HQ,FarmingDiv
RICE_AKITAKOMACHI,DC_KANTO,DC,関東DC,FARM_AKITA,DistDiv
RICE_AKITAKOMACHI,MARKET_TOKYO,MARKET,東京市場,DC_KANTO,SalesDiv
RICE_AKITAKOMACHI,MARKET_OSAKA,MARKET,大阪市場,DC_KANTO,SalesDiv
RICE_AKITAKOMACHI,MARKET_NAGOYA,MARKET,名古屋市場,DC_KANTO,SalesDiv
