product_name,node_name,price_sales_shipped,cost_total,profit,marketing_promotion,sales_admin_cost,SGA_total,logistics_costs,warehouse_cost,direct_materials_costs,tariff_cost,purchase_total_cost,prod_indirect_labor,prod_indirect_others,direct_labor_costs,depreciation_others,manufacturing_overhead
IPHONE_NM_2028_BASE,supply_point,0.0,324.0,-324.0,1.0,2.0,3.0,0.0,0.0,318.5,0.0,318.5,0.5,0.0,1.0,0.0,1.0
IPHONE_NM_2028_BASE,DAD_FAS_AMER,0.0,329.5,-329.5,1.0,3.0,4.0,4.0,0.0,318.5,0.0,318.5,0.5,0.0,1.5,0.0,1.0
IPHONE_NM_2028_BASE,DAD_FAS_EURO,0.0,330.5,-330.5,1.0,3.0,4.0,5.0,0.0,318.5,0.0,318.5,0.5,0.0,1.5,0.0,1.0
IPHONE_NM_2028_BASE,DAD_FAS_APAC,0.0,329.0,-329.0,1.0,3.0,4.0,3.5,0.0,318.5,0.0,318.5,0.5,0.0,1.5,0.0,1.0
IPHONE_NM_2028_BASE,WS_NA,0.0,336.0,-336.0,1.0,4.0,5.0,8.0,2.0,318.5,0.0,320.5,0.5,0.0,1.0,0.0,1.0
IPHONE_NM_2028_BASE,WS_EU,0.0,336.7,-336.7,1.0,4.0,5.0,8.5,2.2,318.5,0.0,320.7,0.5,0.0,1.0,0.0,1.0
IPHONE_NM_2028_BASE,WS_APAC,0.0,334.8,-334.8,1.0,4.0,5.0,7.0,1.8,318.5,0.0,320.3,0.5,0.0,1.0,0.0,1.0
IPHONE_NM_2028_BASE,RT_US_ONLINE,969.0,337.5,631.5,4.0,6.0,10.0,6.0,0.5,318.5,0.0,319.0,0.5,0.0,1.0,0.0,1.0
IPHONE_NM_2028_BASE,RT_US_CARRIER,954.47,339.5,614.97,5.0,6.5,11.5,6.5,0.5,318.5,0.0,319.0,0.5,0.0,1.0,0.0,1.0
IPHONE_NM_2028_BASE,RT_DE_ONLINE,1046.52,339.6,706.92,4.5,6.0,10.5,7.5,0.6,318.5,0.0,319.1,0.5,0.0,1.0,0.0,1.0
IPHONE_NM_2028_BASE,RT_UK_CARRIER,1036.83,340.6,696.23,5.0,6.5,11.5,7.5,0.6,318.5,0.0,319.1,0.5,0.0,1.0,0.0,1.0
IPHONE_NM_2028_BASE,RT_JP_APPLE,998.07,336.9,661.17,4.0,5.5,9.5,6.0,0.4,318.5,0.0,318.9,0.5,0.0,1.0,0.0,1.0
IPHONE_NM_2028_BASE,RT_IN_ECOM,872.1,334.4,537.7,3.0,5.0,8.0,5.0,0.4,318.5,0.0,318.9,0.5,0.0,1.0,0.0,1.0
IPHONE_NM_2028_BASE,RT_CN_ONLINE,949.62,335.9,613.72,3.5,5.5,9.0,5.5,0.4,318.5,0.0,318.9,0.5,0.0,1.0,0.0,1.0
