record_status,source_type,source_ref,confidence_level,owner_name,last_updated_at,remarks,cost_id,cost_object_type,object_id,product_or_part_id,cost_type,currency_code,amount,amount_basis,effective_start_month,effective_end_month
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,COST_SOC_A18,PART,SOC_A18,SOC_A18,PROCUREMENT_COST,USD,92.0,PER_UNIT,2027-01,2028-12
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,COST_OLED_68,PART,OLED_68,OLED_68,PROCUREMENT_COST,USD,78.0,PER_UNIT,2027-01,2028-12
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,COST_MEM_256,PART,MEM_256,MEM_256,PROCUREMENT_COST,USD,42.0,PER_UNIT,2027-01,2028-12
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,COST_CAM_PRO,PART,CAM_PRO,CAM_PRO,PROCUREMENT_COST,USD,55.0,PER_UNIT,2027-01,2028-12
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,COST_BATT_X,PART,BATT_X,BATT_X,PROCUREMENT_COST,USD,18.0,PER_UNIT,2027-01,2028-12
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,COST_HOUSING_AL,PART,HOUSING_AL,HOUSING_AL,PROCUREMENT_COST,USD,14.0,PER_UNIT,2027-01,2028-12
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,COST_PCB_MAIN,PART,PCB_MAIN,PCB_MAIN,PROCUREMENT_COST,USD,16.0,PER_UNIT,2027-01,2028-12
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,COST_PKG_BOX,PART,PKG_BOX,PKG_BOX,PROCUREMENT_COST,USD,3.5,PER_UNIT,2027-01,2028-12
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,COST_ASM_CHINA,NODE,ASM_CHINA_MAIN,IPHONE_NM_2028_BASE,ASSEMBLY_COST,USD,18.0,PER_UNIT,2028-01,2028-12
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,COST_ASM_INDIA,NODE,ASM_INDIA_MAIN,IPHONE_NM_2028_BASE,ASSEMBLY_COST,USD,15.5,PER_UNIT,2028-01,2028-12
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,COST_ASM_VN,NODE,ASM_VIETNAM_MAIN,IPHONE_NM_2028_BASE,ASSEMBLY_COST,USD,16.2,PER_UNIT,2028-01,2028-12
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,COST_FG_AIR_ASIA_NA,EDGE,E_ASM_CHINA_MAIN_TO_RH_NA,IPHONE_NM_2028_BASE,TRANSPORT_COST,USD,8.5,PER_UNIT,2028-01,2028-12
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,COST_HOLDING_RH_NA,NODE,RH_NA,IPHONE_NM_2028_BASE,INVENTORY_HOLDING_COST,USD,1.1,PER_UNIT_MONTH,2028-01,2028-12
ACTIVE,ASSUMPTION,WOM proxy dataset v0.1,MEDIUM,OpenAI,2026-04-01,,COST_STOCKOUT,PRODUCT,IPHONE_NM_2028_BASE,IPHONE_NM_2028_BASE,STOCKOUT_PENALTY,USD,55.0,PER_UNIT,2028-09,2028-12
