sku_id,region,week,max_supply,source
Koshihikari,NIIGATA,2027-W01,1300,JA_Niigata_Seihaku
Yumepirika,HOKKAIDO,2027-W01,400,JA_Hokkaido_Seihaku
Koshihikari,NIIGATA,2027-W02,1300,JA_Niigata_Seihaku
Yumepirika,HOKKAIDO,2027-W02,400,JA_Hokkaido_Seihaku
Koshihikari,NIIGATA,2027-W03,1300,JA_Niigata_Seihaku
Yumepirika,HOKKAIDO,2027-W03,400,JA_Hokkaido_Seihaku
Koshihikari,NIIGATA,2027-W04,1300,JA_Niigata_Seihaku
Yumepirika,HOKKAIDO,2027-W04,400,JA_Hokkaido_Seihaku
Koshihikari,NIIGATA,2027-W05,1300,JA_Niigata_Seihaku
Yumepirika,HOKKAIDO,2027-W05,400,JA_Hokkaido_Seihaku
Koshihikari,NIIGATA,2027-W06,1300,JA_Niigata_Seihaku
Yumepirika,HOKKAIDO,2027-W06,400,JA_Hokkaido_Seihaku
Koshihikari,NIIGATA,2027-W07,1300,JA_Niigata_Seihaku
Yumepirika,HOKKAIDO,2027-W07,400,JA_Hokkaido_Seihaku
Koshihikari,NIIGATA,2027-W08,1300,JA_Niigata_Seihaku
Yumepirika,HOKKAIDO,2027-W08,400,JA_Hokkaido_Seihaku
Koshihikari,NIIGATA,2027-W09,1300,JA_Niigata_Seihaku
Yumepirika,HOKKAIDO,2027-W09,400,JA_Hokkaido_Seihaku
Koshihikari,NIIGATA,2027-W10,1300,JA_Niigata_Seihaku
Yumepirika,HOKKAIDO,2027-W10,400,JA_Hokkaido_Seihaku
Koshihikari,NIIGATA,2027-W11,1300,JA_Niigata_Seihaku
Yumepirika,HOKKAIDO,2027-W11,400,JA_Hokkaido_Seihaku
Koshihikari,NIIGATA,2027-W12,1300,JA_Niigata_Seihaku
Yumepirika,HOKKAIDO,2027-W12,400,JA_Hokkaido_Seihaku
Koshihikari,NIIGATA,2027-W13,1300,JA_Niigata_Seihaku
Yumepirika,HOKKAIDO,2027-W13,400,JA_Hokkaido_Seihaku
Koshihikari,NIIGATA,2027-W14,1300,JA_Niigata_Seihaku
Yumepirika,HOKKAIDO,2027-W14,400,JA_Hokkaido_Seihaku
Koshihikari,NIIGATA,2027-W15,1300,JA_Niigata_Seihaku
Yumepirika,HOKKAIDO,2027-W15,400,JA_Hokkaido_Seihaku
Koshihikari,NIIGATA,2027-W16,1300,JA_Niigata_Seihaku
Yumepirika,HOKKAIDO,2027-W16,400,JA_Hokkaido_Seihaku
Koshihikari,NIIGATA,2027-W17,1300,JA_Niigata_Seihaku
Yumepirika,HOKKAIDO,2027-W17,400,JA_Hokkaido_Seihaku
Koshihikari,NIIGATA,2027-W18,1300,JA_Niigata_Seihaku
Yumepirika,HOKKAIDO,2027-W18,400,JA_Hokkaido_Seihaku
Koshihikari,NIIGATA,2027-W19,1300,JA_Niigata_Seihaku
Yumepirika,HOKKAIDO,2027-W19,400,JA_Hokkaido_Seihaku
Koshihikari,NIIGATA,2027-W20,1300,JA_Niigata_Seihaku
Yumepirika,HOKKAIDO,2027-W20,400,JA_Hokkaido_Seihaku
Koshihikari,NIIGATA,2027-W21,1300,JA_Niigata_Seihaku
Yumepirika,HOKKAIDO,2027-W21,400,JA_Hokkaido_Seihaku
Koshihikari,NIIGATA,2027-W22,1300,JA_Niigata_Seihaku
Yumepirika,HOKKAIDO,2027-W22,400,JA_Hokkaido_Seihaku
Koshihikari,NIIGATA,2027-W23,1300,JA_Niigata_Seihaku
Yumepirika,HOKKAIDO,2027-W23,400,JA_Hokkaido_Seihaku
Koshihikari,NIIGATA,2027-W24,1300,JA_Niigata_Seihaku
Yumepirika,HOKKAIDO,2027-W24,400,JA_Hokkaido_Seihaku
Koshihikari,NIIGATA,2027-W25,1300,JA_Niigata_Seihaku
Yumepirika,HOKKAIDO,2027-W25,400,JA_Hokkaido_Seihaku
Koshihikari,NIIGATA,2027-W26,1300,JA_Niigata_Seihaku
Yumepirika,HOKKAIDO,2027-W26,400,JA_Hokkaido_Seihaku
Koshihikari,NIIGATA,2027-W27,1300,JA_Niigata_Seihaku
Yumepirika,HOKKAIDO,2027-W27,400,JA_Hokkaido_Seihaku
Koshihikari,NIIGATA,2027-W28,1300,JA_Niigata_Seihaku
Yumepirika,HOKKAIDO,2027-W28,400,JA_Hokkaido_Seihaku
Koshihikari,NIIGATA,2027-W29,1300,JA_Niigata_Seihaku
Yumepirika,HOKKAIDO,2027-W29,400,JA_Hokkaido_Seihaku
Koshihikari,NIIGATA,2027-W30,1300,JA_Niigata_Seihaku
Yumepirika,HOKKAIDO,2027-W30,400,JA_Hokkaido_Seihaku
Koshihikari,NIIGATA,2027-W31,1300,JA_Niigata_Seihaku
Yumepirika,HOKKAIDO,2027-W31,400,JA_Hokkaido_Seihaku
Koshihikari,NIIGATA,2027-W32,1300,JA_Niigata_Seihaku
Yumepirika,HOKKAIDO,2027-W32,400,JA_Hokkaido_Seihaku
Koshihikari,NIIGATA,2027-W33,1300,JA_Niigata_Seihaku
Yumepirika,HOKKAIDO,2027-W33,400,JA_Hokkaido_Seihaku
Koshihikari,NIIGATA,2027-W34,1300,JA_Niigata_Seihaku
Yumepirika,HOKKAIDO,2027-W34,400,JA_Hokkaido_Seihaku
Koshihikari,NIIGATA,2027-W35,1300,JA_Niigata_Seihaku
Yumepirika,HOKKAIDO,2027-W35,400,JA_Hokkaido_Seihaku
Koshihikari,NIIGATA,2027-W36,1300,JA_Niigata_Seihaku
Yumepirika,HOKKAIDO,2027-W36,400,JA_Hokkaido_Seihaku
Koshihikari,NIIGATA,2027-W37,1300,JA_Niigata_Seihaku
Yumepirika,HOKKAIDO,2027-W37,6000,JA_Hokkaido_Seihaku
Koshihikari,NIIGATA,2027-W38,1300,JA_Niigata_Seihaku
Yumepirika,HOKKAIDO,2027-W38,6000,JA_Hokkaido_Seihaku
Koshihikari,NIIGATA,2027-W39,1300,JA_Niigata_Seihaku
Yumepirika,HOKKAIDO,2027-W39,6000,JA_Hokkaido_Seihaku
Koshihikari,NIIGATA,2027-W40,15000,JA_Niigata_Seihaku
Yumepirika,HOKKAIDO,2027-W40,400,JA_Hokkaido_Seihaku
Koshihikari,NIIGATA,2027-W41,15000,JA_Niigata_Seihaku
Yumepirika,HOKKAIDO,2027-W41,400,JA_Hokkaido_Seihaku
Koshihikari,NIIGATA,2027-W42,15000,JA_Niigata_Seihaku
Yumepirika,HOKKAIDO,2027-W42,400,JA_Hokkaido_Seihaku
Koshihikari,NIIGATA,2027-W43,15000,JA_Niigata_Seihaku
Yumepirika,HOKKAIDO,2027-W43,400,JA_Hokkaido_Seihaku
Koshihikari,NIIGATA,2027-W44,1300,JA_Niigata_Seihaku
Yumepirika,HOKKAIDO,2027-W44,400,JA_Hokkaido_Seihaku
Koshihikari,NIIGATA,2027-W45,1300,JA_Niigata_Seihaku
Yumepirika,HOKKAIDO,2027-W45,400,JA_Hokkaido_Seihaku
Koshihikari,NIIGATA,2027-W46,1300,JA_Niigata_Seihaku
Yumepirika,HOKKAIDO,2027-W46,400,JA_Hokkaido_Seihaku
Koshihikari,NIIGATA,2027-W47,1300,JA_Niigata_Seihaku
Yumepirika,HOKKAIDO,2027-W47,400,JA_Hokkaido_Seihaku
Koshihikari,NIIGATA,2027-W48,1300,JA_Niigata_Seihaku
Yumepirika,HOKKAIDO,2027-W48,400,JA_Hokkaido_Seihaku
Koshihikari,NIIGATA,2027-W49,1300,JA_Niigata_Seihaku
Yumepirika,HOKKAIDO,2027-W49,400,JA_Hokkaido_Seihaku
