allocated_amount,driver,from_key,rule_name,to_key,weight
9484715.328,sales_units,supply_point,RULE_SUPPLY_POINT_PRODUCTION_TO_MARKET,,0.6
1282047.4239999999,sales_units,supply_point,RULE_SUPPLY_POINT_PRODUCTION_TO_MARKET,MKT_CN_PREMIUM,0.08110190214451105
695038.144,sales_units,supply_point,RULE_SUPPLY_POINT_PRODUCTION_TO_MARKET,MKT_IN_ASPIRER,0.04396788643396594
465502.464,sales_units,supply_point,RULE_SUPPLY_POINT_PRODUCTION_TO_MARKET,MKT_JP_REPLACEMENT,0.029447534136893813
503131.2639999999,sales_units,supply_point,RULE_SUPPLY_POINT_PRODUCTION_TO_MARKET,MKT_UK_MAINSTREAM,0.03182791975936465
481511.80799999996,sales_units,supply_point,RULE_SUPPLY_POINT_PRODUCTION_TO_MARKET,MKT_DE_PREMIUM,0.030460280019908678
1610444.2239999997,sales_units,supply_point,RULE_SUPPLY_POINT_PRODUCTION_TO_MARKET,MKT_US_MAINSTREAM,0.10187617666789292
1285468.224,sales_units,supply_point,RULE_SUPPLY_POINT_PRODUCTION_TO_MARKET,MKT_US_PREMIUM,0.08131830083746294
592794.708,sales_units,supply_point,RULE_SUPPLY_POINT_SGA_TO_MARKET,,0.6
80127.96399999999,sales_units,supply_point,RULE_SUPPLY_POINT_SGA_TO_MARKET,MKT_CN_PREMIUM,0.08110190214451105
43439.884,sales_units,supply_point,RULE_SUPPLY_POINT_SGA_TO_MARKET,MKT_IN_ASPIRER,0.04396788643396594
29093.904,sales_units,supply_point,RULE_SUPPLY_POINT_SGA_TO_MARKET,MKT_JP_REPLACEMENT,0.029447534136893813
31445.703999999994,sales_units,supply_point,RULE_SUPPLY_POINT_SGA_TO_MARKET,MKT_UK_MAINSTREAM,0.03182791975936465
30094.487999999998,sales_units,supply_point,RULE_SUPPLY_POINT_SGA_TO_MARKET,MKT_DE_PREMIUM,0.030460280019908678
100652.76399999998,sales_units,supply_point,RULE_SUPPLY_POINT_SGA_TO_MARKET,MKT_US_MAINSTREAM,0.10187617666789292
80341.764,sales_units,supply_point,RULE_SUPPLY_POINT_SGA_TO_MARKET,MKT_US_PREMIUM,0.08131830083746294
1185589.416,sales_units,supply_point,RULE_SUPPLY_POINT_DEPRECIATION_TO_MARKET,,0.6
160255.92799999999,sales_units,supply_point,RULE_SUPPLY_POINT_DEPRECIATION_TO_MARKET,MKT_CN_PREMIUM,0.08110190214451105
86879.768,sales_units,supply_point,RULE_SUPPLY_POINT_DEPRECIATION_TO_MARKET,MKT_IN_ASPIRER,0.04396788643396594
58187.808,sales_units,supply_point,RULE_SUPPLY_POINT_DEPRECIATION_TO_MARKET,MKT_JP_REPLACEMENT,0.029447534136893813
62891.40799999999,sales_units,supply_point,RULE_SUPPLY_POINT_DEPRECIATION_TO_MARKET,MKT_UK_MAINSTREAM,0.03182791975936465
60188.975999999995,sales_units,supply_point,RULE_SUPPLY_POINT_DEPRECIATION_TO_MARKET,MKT_DE_PREMIUM,0.030460280019908678
201305.52799999996,sales_units,supply_point,RULE_SUPPLY_POINT_DEPRECIATION_TO_MARKET,MKT_US_MAINSTREAM,0.10187617666789292
160683.528,sales_units,supply_point,RULE_SUPPLY_POINT_DEPRECIATION_TO_MARKET,MKT_US_PREMIUM,0.08131830083746294
1085967.1679999998,sales_units,WS_NA,RULE_WS_NA_INVENTORY_TO_MARKET,,0.6
146790.00498547964,sales_units,WS_NA,RULE_WS_NA_INVENTORY_TO_MARKET,MKT_CN_PREMIUM,0.08110190214451105
79579.46852273267,sales_units,WS_NA,RULE_WS_NA_INVENTORY_TO_MARKET,MKT_IN_ASPIRER,0.04396788643396594
53298.42541870983,sales_units,WS_NA,RULE_WS_NA_INVENTORY_TO_MARKET,MKT_JP_REPLACEMENT,0.029447534136893813
57606.79314068078,sales_units,WS_NA,RULE_WS_NA_INVENTORY_TO_MARKET,MKT_UK_MAINSTREAM,0.03182791975936465
55131.44004951201,sales_units,WS_NA,RULE_WS_NA_INVENTORY_TO_MARKET,MKT_DE_PREMIUM,0.030460280019908678
184390.3051044989,sales_units,WS_NA,RULE_WS_NA_INVENTORY_TO_MARKET,MKT_US_MAINSTREAM,0.10187617666789292
147181.67477838608,sales_units,WS_NA,RULE_WS_NA_INVENTORY_TO_MARKET,MKT_US_PREMIUM,0.08131830083746294
542983.5839999999,sales_units,WS_NA,RULE_WS_NA_SGA_TO_MARKET,,0.6
73395.00249273982,sales_units,WS_NA,RULE_WS_NA_SGA_TO_MARKET,MKT_CN_PREMIUM,0.08110190214451105
39789.734261366335,sales_units,WS_NA,RULE_WS_NA_SGA_TO_MARKET,MKT_IN_ASPIRER,0.04396788643396594
26649.212709354913,sales_units,WS_NA,RULE_WS_NA_SGA_TO_MARKET,MKT_JP_REPLACEMENT,0.029447534136893813
28803.39657034039,sales_units,WS_NA,RULE_WS_NA_SGA_TO_MARKET,MKT_UK_MAINSTREAM,0.03182791975936465
27565.720024756007,sales_units,WS_NA,RULE_WS_NA_SGA_TO_MARKET,MKT_DE_PREMIUM,0.030460280019908678
92195.15255224945,sales_units,WS_NA,RULE_WS_NA_SGA_TO_MARKET,MKT_US_MAINSTREAM,0.10187617666789292
73590.83738919304,sales_units,WS_NA,RULE_WS_NA_SGA_TO_MARKET,MKT_US_PREMIUM,0.08131830083746294
915970.512,sales_units,WS_APAC,RULE_WS_APAC_INVENTORY_TO_MARKET,,0.6
123811.58471913614,sales_units,WS_APAC,RULE_WS_APAC_INVENTORY_TO_MARKET,MKT_CN_PREMIUM,0.08110190214451105
67122.14574746272,sales_units,WS_APAC,RULE_WS_APAC_INVENTORY_TO_MARKET,MKT_IN_ASPIRER,0.04396788643396594
